Sr.No,State,Year,Month,Value
1,TELANGANA,1901,JAN,6.9
2,TELANGANA,1901,FEB,41.8
3,TELANGANA,1901,MAR,7.8
4,TELANGANA,1901,APR,45.2
5,TELANGANA,1901,MAY,22.0
6,TELANGANA,1901,JUN,123.6
7,TELANGANA,1901,JUL,237.8
8,TELANGANA,1901,AUG,177.2
9,TELANGANA,1901,SEP,77.7
10,TELANGANA,1901,OCT,75.5
11,TELANGANA,1901,NOV,12.2
12,TELANGANA,1901,DEC,0.0
13,TELANGANA,1902,JAN,0.0
14,TELANGANA,1902,FEB,0.0
15,TELANGANA,1902,MAR,0.2
16,TELANGANA,1902,APR,10.7
17,TELANGANA,1902,MAY,7.3
18,TELANGANA,1902,JUN,52.4
19,TELANGANA,1902,JUL,146.3
20,TELANGANA,1902,AUG,142.8
21,TELANGANA,1902,SEP,190.5
22,TELANGANA,1902,OCT,41.7
23,TELANGANA,1902,NOV,31.2
24,TELANGANA,1902,DEC,7.3
25,TELANGANA,1903,JAN,12.9
26,TELANGANA,1903,FEB,4.6
27,TELANGANA,1903,MAR,0.0
28,TELANGANA,1903,APR,9.9
29,TELANGANA,1903,MAY,40.7
30,TELANGANA,1903,JUN,99.2
31,TELANGANA,1903,JUL,505.2
32,TELANGANA,1903,AUG,246.7
33,TELANGANA,1903,SEP,191.9
34,TELANGANA,1903,OCT,155.8
35,TELANGANA,1903,NOV,15.5
36,TELANGANA,1903,DEC,1.1
37,TELANGANA,1904,JAN,0.0
38,TELANGANA,1904,FEB,0.0
39,TELANGANA,1904,MAR,10.8
40,TELANGANA,1904,APR,0.8
41,TELANGANA,1904,MAY,14.7
42,TELANGANA,1904,JUN,104.2
43,TELANGANA,1904,JUL,139.5
44,TELANGANA,1904,AUG,50.0
45,TELANGANA,1904,SEP,162.3
46,TELANGANA,1904,OCT,44.4
47,TELANGANA,1904,NOV,0.0
48,TELANGANA,1904,DEC,0.0
49,TELANGANA,1905,JAN,0.0
50,TELANGANA,1905,FEB,4.3
51,TELANGANA,1905,MAR,12.8
52,TELANGANA,1905,APR,27.6
53,TELANGANA,1905,MAY,32.2
54,TELANGANA,1905,JUN,129.5
55,TELANGANA,1905,JUL,82.4
56,TELANGANA,1905,AUG,237.3
57,TELANGANA,1905,SEP,179.1
58,TELANGANA,1905,OCT,19.6
59,TELANGANA,1905,NOV,0.0
60,TELANGANA,1905,DEC,0.0
61,TELANGANA,1906,JAN,22.5
62,TELANGANA,1906,FEB,1.2
63,TELANGANA,1906,MAR,13.4
64,TELANGANA,1906,APR,2.4
65,TELANGANA,1906,MAY,0.7
66,TELANGANA,1906,JUN,211.1
67,TELANGANA,1906,JUL,210.8
68,TELANGANA,1906,AUG,226.7
69,TELANGANA,1906,SEP,96.3
70,TELANGANA,1906,OCT,20.5
71,TELANGANA,1906,NOV,14.9
72,TELANGANA,1906,DEC,34.8
73,TELANGANA,1907,JAN,1.0
74,TELANGANA,1907,FEB,3.3
75,TELANGANA,1907,MAR,10.2
76,TELANGANA,1907,APR,61.9
77,TELANGANA,1907,MAY,0.2
78,TELANGANA,1907,JUN,217.5
79,TELANGANA,1907,JUL,160.5
80,TELANGANA,1907,AUG,263.3
81,TELANGANA,1907,SEP,116.8
82,TELANGANA,1907,OCT,0.3
83,TELANGANA,1907,NOV,3.6
84,TELANGANA,1907,DEC,5.0
85,TELANGANA,1908,JAN,35.6
86,TELANGANA,1908,FEB,2.6
87,TELANGANA,1908,MAR,5.2
88,TELANGANA,1908,APR,0.3
89,TELANGANA,1908,MAY,6.5
90,TELANGANA,1908,JUN,107.4
91,TELANGANA,1908,JUL,254.9
92,TELANGANA,1908,AUG,168.3
93,TELANGANA,1908,SEP,401.2
94,TELANGANA,1908,OCT,0.1
95,TELANGANA,1908,NOV,0.0
96,TELANGANA,1908,DEC,0.7
97,TELANGANA,1909,JAN,0.5
98,TELANGANA,1909,FEB,5.9
99,TELANGANA,1909,MAR,0.5
100,TELANGANA,1909,APR,26.4
101,TELANGANA,1909,MAY,2.2
102,TELANGANA,1909,JUN,133.8
103,TELANGANA,1909,JUL,288.3
104,TELANGANA,1909,AUG,168.6
105,TELANGANA,1909,SEP,138.5
106,TELANGANA,1909,OCT,4.6
107,TELANGANA,1909,NOV,0.0
108,TELANGANA,1909,DEC,0.2
109,TELANGANA,1910,JAN,0.0
110,TELANGANA,1910,FEB,0.0
111,TELANGANA,1910,MAR,0.0
112,TELANGANA,1910,APR,4.2
113,TELANGANA,1910,MAY,25.0
114,TELANGANA,1910,JUN,220.9
115,TELANGANA,1910,JUL,198.2
116,TELANGANA,1910,AUG,150.3
117,TELANGANA,1910,SEP,230.5
118,TELANGANA,1910,OCT,101.4
119,TELANGANA,1910,NOV,45.3
120,TELANGANA,1910,DEC,0.0
121,TELANGANA,1911,JAN,0.0
122,TELANGANA,1911,FEB,0.0
123,TELANGANA,1911,MAR,7.9
124,TELANGANA,1911,APR,0.7
125,TELANGANA,1911,MAY,7.8
126,TELANGANA,1911,JUN,133.9
127,TELANGANA,1911,JUL,122.1
128,TELANGANA,1911,AUG,176.3
129,TELANGANA,1911,SEP,174.4
130,TELANGANA,1911,OCT,23.0
131,TELANGANA,1911,NOV,6.0
132,TELANGANA,1911,DEC,9.9
133,TELANGANA,1912,JAN,0.0
134,TELANGANA,1912,FEB,37.5
135,TELANGANA,1912,MAR,0.0
136,TELANGANA,1912,APR,20.4
137,TELANGANA,1912,MAY,6.6
138,TELANGANA,1912,JUN,28.5
139,TELANGANA,1912,JUL,263.3
140,TELANGANA,1912,AUG,196.8
141,TELANGANA,1912,SEP,149.5
142,TELANGANA,1912,OCT,7.8
143,TELANGANA,1912,NOV,33.4
144,TELANGANA,1912,DEC,0.0
145,TELANGANA,1913,JAN,0.0
146,TELANGANA,1913,FEB,13.4
147,TELANGANA,1913,MAR,0.0
148,TELANGANA,1913,APR,8.0
149,TELANGANA,1913,MAY,34.6
150,TELANGANA,1913,JUN,83.5
151,TELANGANA,1913,JUL,337.2
152,TELANGANA,1913,AUG,108.8
153,TELANGANA,1913,SEP,101.7
154,TELANGANA,1913,OCT,35.2
155,TELANGANA,1913,NOV,0.0
156,TELANGANA,1913,DEC,9.7
157,TELANGANA,1914,JAN,0.0
158,TELANGANA,1914,FEB,0.0
159,TELANGANA,1914,MAR,1.2
160,TELANGANA,1914,APR,34.1
161,TELANGANA,1914,MAY,41.5
162,TELANGANA,1914,JUN,233.1
163,TELANGANA,1914,JUL,271.3
164,TELANGANA,1914,AUG,195.1
165,TELANGANA,1914,SEP,278.6
166,TELANGANA,1914,OCT,16.2
167,TELANGANA,1914,NOV,10.3
168,TELANGANA,1914,DEC,2.0
169,TELANGANA,1915,JAN,15.4
170,TELANGANA,1915,FEB,8.6
171,TELANGANA,1915,MAR,77.8
172,TELANGANA,1915,APR,18.8
173,TELANGANA,1915,MAY,26.7
174,TELANGANA,1915,JUN,165.6
175,TELANGANA,1915,JUL,140.4
176,TELANGANA,1915,AUG,236.2
177,TELANGANA,1915,SEP,186.8
178,TELANGANA,1915,OCT,122.0
179,TELANGANA,1915,NOV,23.6
180,TELANGANA,1915,DEC,0.1
181,TELANGANA,1916,JAN,0.0
182,TELANGANA,1916,FEB,4.1
183,TELANGANA,1916,MAR,0.0
184,TELANGANA,1916,APR,15.9
185,TELANGANA,1916,MAY,16.1
186,TELANGANA,1916,JUN,233.2
187,TELANGANA,1916,JUL,216.4
188,TELANGANA,1916,AUG,137.0
189,TELANGANA,1916,SEP,291.8
190,TELANGANA,1916,OCT,153.1
191,TELANGANA,1916,NOV,95.1
192,TELANGANA,1916,DEC,0.0
193,TELANGANA,1917,JAN,0.0
194,TELANGANA,1917,FEB,65.5
195,TELANGANA,1917,MAR,33.0
196,TELANGANA,1917,APR,34.1
197,TELANGANA,1917,MAY,52.7
198,TELANGANA,1917,JUN,184.1
